Tanggal&Waktu,Username,Tweet
2022-06-13 10:05:27+00:00,akiara_NFT,@YuzarYudha Deres ndak disitu pak?
2022-06-13 10:05:03+00:00,TeamShakeri,"RT @botSattoNFT: 🚨 CUBIST 158 SOLD!!! =&gt; PRICE 7,2 S◎L ($189.00 💵) 
RANK M: ⍜3537  RANK HR: N/R  🧹FP: 7,0 S◎L 
📥 OWNER: 66DUuNnqeJwqy7MQgfF…"
2022-06-13 10:05:00+00:00,StanWilscott,@Tikidy_NFT @dotmobo @CristianRatis @dbrothersclub @ccxspaceeu @Carloco282 @ErdAndreea @DaBitcoinBadger… https://t.co/yqbbTVIWGA
2022-06-13 10:04:56+00:00,ErnestCline11,@Flinny58 @EyzlNFT @0xApes_NFT Cheetah 🐆 https://t.co/b9UpSkinZU
2022-06-13 10:04:46+00:00,Bangmi888,@edz_lozano @NFT_Retrievers Discord: bangmi#5990 https://t.co/2gj7gP4Nx1
2022-06-13 10:04:18+00:00,Benny_offline,@Tikidy_NFT @BedoHmd @SRPICO_  Tikidy Free mint
2022-06-13 10:02:42+00:00,Arctefact_NFT,@DionMedici @XCOPYART gm dion san
2022-06-13 10:02:37+00:00,dnh103,RT @dashawatar: Gm fem                                       #Goodmorningtwitterworld #NFTcommunity #NFTart #travelphotography #architectur…
2022-06-13 10:02:18+00:00,lyssmce,"RT @alienus_nft: Jujutsu Kaisen x Society Of Alienus 🔥

Opensea : https://t.co/MoYdIpmEvJ
Discord : https://t.co/9D92MnAOo8

#NFTs #NFTComm…"
2022-06-13 10:02:07+00:00,sefrianus,"RT @CryptoTreeMap: https://t.co/t6kVcSK6IH

Crypto market:
$USDD +5.28% 📈
$LEO +4.24% 📈
$SHIB +3.3% 📈
$XEC +3.04% 📈

$ICP -9.24% 📉
$NEO -9.…"
2022-06-13 10:02:06+00:00,PromoterLenka,"RT @PromoterLenka: 💰 $20 | 340 TL 💰

♦️RT &amp; Follow @PromoterLenka 
♦️Turn on 🔔

⏰ 12 H

#NFTGiveaway #NFTCommunity #NFT #NFTs   #Giveaway …"
2022-06-13 10:02:01+00:00,sefrianus,"RT @CryptoTreeMap: https://t.co/t6kVcSK6IH

Crypto market:
$XEC +8.02% 📈
$SHIB +5.6% 📈
$USDD +5.33% 📈
$AR +4.74% 📈

$ICP -7.8% 📉
$LUNC -7.6…"
2022-06-13 10:01:16+00:00,aidejia1,"@meta_ghost_nft 0xaF715B2Cd925b663E67F297045Cba016c05D8f80
@PunksFromAbove 
@gregory_g__ 
@Jayfans13 
@DaoStarter 
@aidejiaqhj"
2022-06-13 10:00:49+00:00,QRTS_NFT,"@Tikidy_NFT TIKIDY FREE MINT

@iserjtweets

@SpinelloLuca

@Calinegld

@PiolaniD

@Demacia17

@Gaidaci94… https://t.co/fnq5rVG80E"
2022-06-13 10:00:44+00:00,Lahseminit,dah boleh slow slow jual nft kat shopee dah ni
